id,dcode,sport_field_name,sport_field_type,area
1006018,1006,โรงเรียนสุเหร่าคลองจั่น,โรงเรียนสังกัดกรุงเทพมหานคร,100
1006019,1006,โรงเรียนสุเหร่าวังใหญ่,โรงเรียนสังกัดกรุงเทพมหานคร,250
1006020,1006,โรงเรียนสุเหร่าหัวหมากน้อย,โรงเรียนสังกัดกรุงเทพมหานคร,200
1006021,1006,ชุมชนเยรูซาเล็ม, ใต้ทางด่วน,100
1006022,1006,ชุมชนโครงการร่วมกันสร้าง,ชุมชนทั่วไป,200
1006023,1006,ชุมชนลำสาลี,ชุมชนทั่วไป,300
1006024,1006,ชุมชนวัดกลาง,ชุมชนทั่วไป,100
1006025,1006,ชุมชนหมู่บ้านสวนสน,ชุมชนทั่วไป,2130
1006026,1006,ชุมชนหมู่บ้านสินธร,ชุมชนทั่วไป,200
1006027,1006,วิทยาลัยศิลปหัตถกรรมกรุงเทพ,โรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,2000
1006028,1006,สวนพฤกษชาติคลองจั่น,ที่สาธารณะ (ลานกลางแจ้ง),13600
1010001,1010,สวนเฉลิมพระเกียรติ  ร.9,ที่สาธารณะ (ลานกลางแจ้ง),400
1010002,1010,โรงเรียนเศรษฐบุตรบำเพ็ญ,โรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,665
1010003,1010,ชุมชนหมู่บ้านรินทร์ทอง,ชุมชนทั่วไป ,1120
1010004,1010,ชุมชนเคหะชุมชนบางชัน,ชุมชนทั่วไป ,160
1010005,1010,ชุมชนราษฎร์พัฒนา,ชุมชนทั่วไป ,200
1010006,1010,ชุมชนหมู่บ้านปรีชา 11,ชุมชนทั่วไป ,100
1010007,1010,ชุมชนสามัคคีคลองสองต้นนุ่น,ชุมชนทั่วไป ,150
1010008,1010,ชุมชนวังทองพัฒนา,ชุมชนทั่วไป ,100
1010009,1010,ชุมชนอิดซ์ฮาดร์,ชุมชนทั่วไป ,100
1010010,1010,ชุมชนแสงวิมาน,ชุมชนทั่วไป ,200
1010011,1010,ชุมชนสุกกาทอง โครงการ 2,ชุมชนทั่วไป ,246
1010012,1010,สถานีตำรวจนครบาลมีนบุรี,ที่สาธารณะ (ลานกลางแจ้ง),300
1010013,1010,ชุมชนหมู่บ้านเค.ซี.ร่มเกล้า,ชุมชนทั่วไป ,80
1010014,1010,ชุมชนหมู่บ้านรุ่งนภาเพลส,ชุมชนทั่วไป ,80
1010015,1010,ชุมชนนูรุ้ลพัฒนา,ชุมชนทั่วไป ,80
1010016,1010,ชุมชนมัสยิดอัตตั๊กวาพัฒนาฯ,ชุมชนทั่วไป ,100
1010017,1010,ชุมชนหมู่บ้านสุภาวัลย์ - เทพารักษ์,ชุมชนทั่วไป ,70
1010018,1010,ชุมชนหมู่บ้านปรีชา 10,ชุมชนทั่วไป ,90
1010019,1010,ชุมชนหมู่บ้านบัวขาว,ชุมชนทั่วไป ,600
1010020,1010,ชุมชนบ้านคูคตพัฒนา,ชุมชนทั่วไป ,100
1010021,1010,ชุมชนหมู่บ้านพนาสนธิ์วิลล่า 3,ชุมชนทั่วไป ,80
1010022,1010,ชุมชนนูรุ้ลอิสลามฯ,ชุมชนทั่วไป ,400
1010023,1010,ชุมชนอันนูรอยน์ฯ,ชุมชนทั่วไป ,75
1010024,1010,ชุมชนสุเหร่าบ้านเกาะ,ชุมชนทั่วไป ,80
1010025,1010,ชุมชนอับดุลรอมาน,ชุมชนทั่วไป ,80
1010026,1010,ชุมชนฉัตรหลวง,ชุมชนทั่วไป ,120
1010027,1010,ชุมชนหมู่บ้านมีนบุรีการ์เด้นโฮม,ชุมชนทั่วไป ,600
1010028,1010,ชุมชนอับดุลเลาะ,ชุมชนทั่วไป ,80
1017001,1017,สวนสมเด็จสราญราษร์มณีรมย์,ที่สาธารณะ (ลานกลางแจ้ง),3600
1017002,1017,โรงเรียนประชาราษฎร์บำเพ็ญ,โรงเรียนสังกัดกรุงเทพมหานคร,800
