dcode,dname,sex,age,population,age_group,age_group_range
1001,เขตพระนคร,female,78,184,75,65 years and older
1001,เขตพระนคร,female,79,184,75,65 years and older
1001,เขตพระนคร,male,16,184,15,15 to 64 years
1001,เขตพระนคร,male,17,184,15,15 to 64 years
1039,เขตวัฒนา,female,87,184,85,65 years and older
1033,เขตคลองเตย,male,77,183,75,65 years and older
1015,เขตธนบุรี,male,80,183,80,65 years and older
1007,เขตปทุมวัน,female,74,183,70,65 years and older
1007,เขตปทุมวัน,male,12,183,10,0 to 14 years
1008,เขตป้อมปราบศัตรูพ่าย,male,19,183,15,15 to 64 years
1010,เขตมีนบุรี,male,76,183,75,65 years and older
1012,เขตยานนาวา,female,80,183,80,65 years and older
1044,เขตสะพานสูง,male,76,183,75,65 years and older
1028,เขตสาทร,male,79,183,75,65 years and older
1026,เขตดินแดง,male,81,182,80,65 years and older
1021,เขตบางขุนเทียน,female,86,182,85,65 years and older
1031,เขตบางคอแหลม,male,79,182,75,65 years and older
1047,เขตบางนา,male,77,182,75,65 years and older
1050,เขตบางบอน,female,81,182,80,65 years and older
1004,เขตบางรัก,female,1,182,0,0 to 14 years
1007,เขตปทุมวัน,female,2,182,0,0 to 14 years
1007,เขตปทุมวัน,female,13,182,10,0 to 14 years
1022,เขตภาษีเจริญ,male,82,182,80,65 years and older
1013,เขตสัมพันธวงศ์,female,64,182,60,15 to 64 years
1018,เขตคลองสาน,male,1,181,0,0 to 14 years
1048,เขตทวีวัฒนา,female,80,181,80,65 years and older
1048,เขตทวีวัฒนา,female,81,181,80,65 years and older
1016,เขตบางกอกใหญ่,female,83,181,80,65 years and older
1016,เขตบางกอกใหญ่,male,6,181,5,0 to 14 years
1006,เขตบางกะปิ,female,87,181,85,65 years and older
1029,เขตบางซื่อ,female,89,181,85,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,male,13,181,10,0 to 14 years
1022,เขตภาษีเจริญ,female,87,181,85,65 years and older
1037,เขตราชเทวี,female,77,181,75,65 years and older
1042,เขตสายไหม,male,83,181,80,65 years and older
1018,เขตคลองสาน,female,3,180,0,0 to 14 years
1049,เขตทุ่งครุ,female,84,180,80,65 years and older
1016,เขตบางกอกใหญ่,female,6,180,5,0 to 14 years
1031,เขตบางคอแหลม,female,84,180,80,65 years and older
1007,เขตปทุมวัน,female,75,180,75,65 years and older
1014,เขตพญาไท,female,78,180,75,65 years and older
1039,เขตวัฒนา,female,85,180,85,65 years and older
1003,เขตหนองจอก,female,80,180,80,65 years and older
1019,เขตตลิ่งชัน,female,86,179,85,65 years and older
1025,เขตบางพลัด,female,1,179,0,0 to 14 years
1004,เขตบางรัก,female,21,179,20,15 to 64 years
1004,เขตบางรัก,male,19,179,15,15 to 64 years
1022,เขตภาษีเจริญ,male,83,179,80,65 years and older
1010,เขตมีนบุรี,female,83,179,80,65 years and older
1033,เขตคลองเตย,female,84,178,80,65 years and older
1049,เขตทุ่งครุ,female,85,178,85,65 years and older
1015,เขตธนบุรี,male,82,178,80,65 years and older
1005,เขตบางเขน,female,88,178,85,65 years and older
1016,เขตบางกอกใหญ่,female,5,178,5,0 to 14 years
1050,เขตบางบอน,female,80,178,80,65 years and older
1027,เขตบึงกุ่ม,male,81,178,80,65 years and older
1014,เขตพญาไท,male,74,178,70,65 years and older
1012,เขตยานนาวา,male,77,178,75,65 years and older
1039,เขตวัฒนา,male,101,178,100,65 years and older
1003,เขตหนองจอก,male,79,178,75,65 years and older
1046,เขตคลองสามวา,female,84,177,80,65 years and older
1030,เขตจตุจักร,male,88,177,85,65 years and older
1036,เขตดอนเมือง,female,85,177,85,65 years and older
1020,เขตบางกอกน้อย,female,88,177,85,65 years and older
1007,เขตปทุมวัน,female,14,177,10,0 to 14 years
1007,เขตปทุมวัน,male,16,177,15,15 to 64 years
1006,เขตบางกะปิ,male,81,176,80,65 years and older
1004,เขตบางรัก,male,14,176,10,0 to 14 years
1008,เขตป้อมปราบศัตรูพ่าย,female,36,176,35,15 to 64 years
1012,เขตยานนาวา,male,79,176,75,65 years and older
1034,เขตสวนหลวง,female,85,176,85,65 years and older
1013,เขตสัมพันธวงศ์,female,50,176,50,15 to 64 years
1013,เขตสัมพันธวงศ์,female,69,176,65,65 years and older
1003,เขตหนองจอก,female,82,176,80,65 years and older
1043,เขตคันนายาว,female,80,175,80,65 years and older
1002,เขตดุสิต,female,0,175,0,0 to 14 years
